date,value
2023-05-24,8436255.0
2023-05-31,8385854.0
2023-06-07,8389325.0
2023-06-14,8388323.0
2023-06-21,8362060.0
2023-06-28,8340914.0
2023-07-05,8298312.0
2023-07-12,8296923.0
2023-07-19,8274552.0
2023-07-26,8243344.0
2023-08-02,8206764.0
2023-08-09,8208241.0
2023-08-16,8145727.0
2023-08-23,8139066.0
2023-08-30,8121316.0
2023-09-06,8101318.0
2023-09-13,8098779.0
2023-09-20,8024090.0
2023-09-27,8002064.0
2023-10-04,7955782.0
2023-10-11,7952054.0
2023-10-18,7933162.0
2023-10-25,7907830.0
2023-11-01,7866664.0
2023-11-08,7860691.0
2023-11-15,7814991.0
2023-11-22,7810814.0
2023-11-29,7796145.0
2023-12-06,7737385.0
2023-12-13,7739566.0
2023-12-20,7724063.0
2023-12-27,7712781.0
2024-01-03,7681024.0
2024-01-10,7686710.0
2024-01-17,7673741.0
2024-01-24,7677230.0
2024-01-31,7630124.0
2024-02-07,7631300.0
2024-02-14,7633874.0
2024-02-21,7581683.0
2024-02-28,7567807.0
2024-03-06,7538857.0
2024-03-13,7541969.0
2024-03-20,7514348.0
2024-03-27,7484739.0
2024-04-03,7439558.0
2024-04-10,7438176.0
2024-04-17,7405506.0
2024-04-24,7402434.0
2024-05-01,7362474.0
2024-05-08,7353408.0
2024-05-15,7304272.0
2024-05-22,7299566.0
2024-05-29,7284319.0
2024-06-05,7255687.0
2024-06-12,7258974.0
2024-06-19,7252542.0
2024-06-26,7231163.0
2024-07-03,7221520.0
2024-07-10,7224079.0
2024-07-17,7208247.0
2024-07-24,7205455.0
2024-07-31,7178391.0
2024-08-07,7175256.0
2024-08-14,7177688.0
2024-08-21,7139952.0
2024-08-28,7123238.0
2024-09-04,7112567.0
2024-09-11,7115001.0
2024-09-18,7109137.0
2024-09-25,7080059.0
2024-10-02,7046925.0
2024-10-09,7046840.0
2024-10-16,7039284.0
2024-10-23,7029408.0
2024-10-30,7013490.0
2024-11-06,6994299.0
2024-11-13,6967108.0
2024-11-20,6923731.0
2024-11-27,6905140.0
2024-12-04,6895827.0
2024-12-11,6897485.0
2024-12-18,6889332.0
2024-12-25,6885963.0
2025-01-01,6852491.0
2025-01-08,6853554.0
2025-01-15,6834070.0
2025-01-22,6831760.0
2025-01-29,6818186.0
2025-02-05,6810935.0
2025-02-12,6813513.0
2025-02-19,6782332.0
2025-02-26,6766101.0
2025-03-05,6756764.0
2025-03-12,6759571.0
2025-03-19,6755982.0
2025-03-26,6740253.0
2025-04-02,6723452.0
2025-04-09,6727416.0
2025-04-16,6727113.0
2025-04-23,6726930.0
2025-04-30,6709277.0
2025-05-07,6710889.0
2025-05-14,6713270.0
2025-05-21,6688726.0
2025-05-28,6673244.0
2025-06-04,6672885.0
2025-06-11,6677155.0
2025-06-18,6681056.0
2025-06-25,6662200.0
2025-07-02,6659598.0
2025-07-09,6661912.0
2025-07-16,6659273.0
2025-07-23,6657715.0
2025-07-30,6642578.0
2025-08-06,6640843.0
2025-08-13,6643615.0
2025-08-20,6618415.0
2025-08-27,6603384.0
2025-09-03,6602071.0
2025-09-10,6605962.0
2025-09-17,6608597.0
2025-09-24,6608395.0
2025-10-01,6587119.0
2025-10-08,6590815.0
2025-10-15,6596454.0
2025-10-22,6589533.0
2025-10-29,6587034.0
2025-11-05,6572732.0
2025-11-12,6580462.0
2025-11-19,6555283.0
2025-11-26,6552419.0
2025-12-03,6535781.0
2025-12-10,6539303.0
2025-12-17,6556861.0
2025-12-24,6581231.0
2025-12-31,6640618.0
2026-01-07,6573602.0
2026-01-14,6581700.0
2026-01-21,6584580.0
2026-01-28,6587568.0
2026-02-04,6605909.0
2026-02-11,6622382.0
2026-02-18,6613395.0
2026-02-25,6613797.0
2026-03-04,6628894.0
2026-03-11,6646344.0
2026-03-18,6655939.0
2026-03-25,6657161.0
2026-04-01,6675344.0
2026-04-08,6693871.0
2026-04-15,6705696.0
2026-04-22,6707419.0
2026-04-29,6699950.0
2026-05-06,6709505.0
2026-05-13,6728502.0
2026-05-20,6713643.0
2026-05-27,6704383.0
2026-06-03,6711495.0
