date,value
2024-05-15,8445.7998046875
2024-05-16,8438.7001953125
2024-05-17,8420.2998046875
2024-05-20,8424.2001953125
2024-05-21,8416.5
2024-05-22,8370.2998046875
2024-05-23,8339.2001953125
2024-05-24,8317.599609375
2024-05-28,8254.2001953125
2024-05-29,8183.10009765625
2024-05-30,8231.099609375
2024-05-31,8275.400390625
2024-06-03,8262.7998046875
2024-06-04,8232.0
2024-06-05,8247.0
2024-06-06,8285.2998046875
2024-06-07,8245.400390625
2024-06-10,8228.5
2024-06-11,8147.7998046875
2024-06-12,8215.5
2024-06-13,8163.7001953125
2024-06-14,8146.89990234375
2024-06-17,8142.2001953125
2024-06-18,8191.2998046875
2024-06-19,8205.099609375
2024-06-20,8272.5
2024-06-21,8237.7001953125
2024-06-24,8281.599609375
2024-06-25,8247.7998046875
2024-06-26,8225.2998046875
2024-06-27,8179.7001953125
2024-06-28,8164.10009765625
2024-07-01,8166.7998046875
2024-07-02,8121.2001953125
2024-07-03,8171.10009765625
2024-07-04,8241.2998046875
2024-07-05,8203.900390625
2024-07-08,8193.5
2024-07-09,8139.7998046875
2024-07-10,8193.5
2024-07-11,8223.2998046875
2024-07-12,8252.900390625
2024-07-15,8183.0
2024-07-16,8164.89990234375
2024-07-17,8187.5
2024-07-18,8204.900390625
2024-07-19,8155.7001953125
2024-07-22,8198.7998046875
2024-07-23,8167.39990234375
2024-07-24,8153.7001953125
2024-07-25,8186.39990234375
2024-07-26,8285.7001953125
2024-07-29,8292.400390625
2024-07-30,8274.400390625
2024-07-31,8368.0
2024-08-01,8283.400390625
2024-08-02,8174.7001953125
2024-08-05,8008.2001953125
2024-08-06,8026.7001953125
2024-08-07,8166.89990234375
2024-08-08,8145.0
2024-08-09,8168.10009765625
2024-08-12,8210.2998046875
2024-08-13,8235.2001953125
2024-08-14,8281.099609375
2024-08-15,8347.400390625
2024-08-16,8311.400390625
2024-08-19,8356.900390625
2024-08-20,8273.2998046875
2024-08-21,8283.400390625
2024-08-22,8288.0
2024-08-23,8327.7998046875
2024-08-27,8345.5
2024-08-28,8343.900390625
2024-08-29,8379.599609375
2024-08-30,8376.599609375
2024-09-02,8363.7998046875
2024-09-03,8298.5
2024-09-04,8269.599609375
2024-09-05,8241.7001953125
2024-09-06,8181.5
2024-09-09,8270.7998046875
2024-09-10,8206.0
2024-09-11,8193.900390625
2024-09-12,8241.0
2024-09-13,8273.099609375
2024-09-16,8278.400390625
2024-09-17,8309.900390625
2024-09-18,8253.7001953125
2024-09-19,8328.7001953125
2024-09-20,8230.0
2024-09-23,8259.7001953125
2024-09-24,8282.7998046875
2024-09-25,8268.7001953125
2024-09-26,8284.900390625
2024-09-27,8320.7998046875
2024-09-30,8237.0
2024-10-01,8276.7001953125
2024-10-02,8290.900390625
2024-10-03,8282.5
2024-10-04,8280.599609375
2024-10-07,8303.599609375
2024-10-08,8190.60009765625
2024-10-09,8243.7001953125
2024-10-10,8237.7001953125
2024-10-11,8253.7001953125
2024-10-14,8292.7001953125
2024-10-15,8249.2998046875
2024-10-16,8329.099609375
2024-10-17,8385.099609375
2024-10-18,8358.2998046875
2024-10-21,8318.2001953125
2024-10-22,8306.5
2024-10-23,8258.599609375
2024-10-24,8269.400390625
2024-10-25,8248.7998046875
2024-10-28,8285.599609375
2024-10-29,8219.599609375
2024-10-30,8159.60009765625
2024-10-31,8110.10009765625
2024-11-01,8177.2001953125
2024-11-04,8184.2001953125
2024-11-05,8172.39990234375
2024-11-06,8166.7001953125
2024-11-07,8140.7001953125
2024-11-08,8072.39990234375
2024-11-11,8125.2001953125
2024-11-12,8025.7998046875
2024-11-13,8030.2998046875
2024-11-14,8071.2001953125
2024-11-15,8063.60009765625
2024-11-18,8109.2998046875
2024-11-19,8099.0
2024-11-20,8085.10009765625
2024-11-21,8149.2998046875
2024-11-22,8262.099609375
2024-11-25,8291.7001953125
2024-11-26,8258.599609375
2024-11-27,8274.7998046875
2024-11-28,8281.2001953125
2024-11-29,8287.2998046875
2024-12-02,8312.900390625
2024-12-03,8359.400390625
2024-12-04,8335.7998046875
2024-12-05,8349.400390625
2024-12-06,8308.599609375
2024-12-09,8352.099609375
2024-12-10,8280.400390625
2024-12-11,8301.599609375
