date,value
2026-05-01,2.507
2026-05-07,2.485
2026-05-08,2.485
2026-05-11,2.527
2026-05-12,2.546
2026-05-13,2.587
2026-05-14,2.628
2026-05-15,2.691
2026-05-18,2.729
2026-05-19,2.783
2026-05-20,2.77
2026-05-21,2.748
2026-05-22,2.749
2026-05-25,2.686
2026-05-26,2.713
2026-05-27,2.687
2026-05-28,2.692
2026-05-29,2.657
2026-06-01,2.682
2026-06-02,2.577
2026-06-03,2.645
2026-06-04,2.671
2026-06-05,2.669
2026-06-08,2.715
2026-06-09,2.669
2026-06-10,2.681
2026-06-11,2.682
2026-06-12,2.643
2026-06-15,2.589
2026-06-16,2.655
2026-06-17,2.613
2026-06-18,2.628
2026-06-19,2.656
2026-06-22,2.677
2026-06-23,2.683
2026-06-24,2.674
2026-06-25,2.637
2026-06-26,2.611
2026-06-29,2.644
2026-06-30,2.69
2026-07-01,2.711
2026-07-02,2.778
2026-07-03,2.768
2026-07-06,2.823
2026-07-07,2.834
2026-07-08,2.856
2026-07-09,2.866
2026-07-10,2.761
2026-07-13,2.786
2026-07-14,2.713
2026-07-15,2.697
2026-07-16,2.719
2026-07-17,2.715
2026-07-21,2.731
2026-07-22,2.745
2026-07-23,2.776
2026-07-24,2.815
2026-07-27,2.778
2026-07-28,2.783
