date,value
2023-05-19,5.309
2023-05-22,5.4190000000000005
2023-05-23,5.359
2023-05-24,5.389
2023-05-25,5.399
2023-05-26,5.359
2023-05-30,5.569
2023-05-31,5.539
2023-06-01,5.503
2023-06-02,5.503
2023-06-05,5.463
2023-06-06,5.4430000000000005
2023-06-07,5.423
2023-06-08,5.383
2023-06-09,5.373
2023-06-12,5.4030000000000005
2023-06-13,5.363
2023-06-14,5.363
2023-06-15,5.333
2023-06-16,5.343
2023-06-20,5.393
2023-06-21,5.4030000000000005
2023-06-22,5.4030000000000005
2023-06-23,5.413
2023-06-26,5.503
2023-06-27,5.4430000000000005
2023-06-28,5.4430000000000005
2023-06-29,5.463
2023-06-30,5.433
2023-07-03,5.4430000000000005
2023-07-05,5.4430000000000005
2023-07-06,5.463
2023-07-07,5.463
2023-07-10,5.4830000000000005
2023-07-11,5.493
2023-07-12,5.473
2023-07-13,5.473
2023-07-14,5.493
2023-07-17,5.493
2023-07-18,5.493
2023-07-19,5.493
2023-07-20,5.493
2023-07-21,5.503
2023-07-24,5.513
2023-07-25,5.513
2023-07-26,5.513
2023-07-27,5.513
2023-07-28,5.523
2023-07-31,5.553
2023-08-01,5.543
2023-08-02,5.533
2023-08-03,5.543
2023-08-04,5.543
2023-08-07,5.563
2023-08-08,5.573
2023-08-09,5.553
2023-08-10,5.543
2023-08-11,5.543
2023-08-14,5.563
2023-08-15,5.563
2023-08-16,5.563
2023-08-17,5.563
2023-08-18,5.553
2023-08-21,5.573
2023-08-22,5.573
2023-08-23,5.573
2023-08-24,5.583
2023-08-25,5.613
2023-08-28,5.583
2023-08-29,5.563
2023-08-30,5.563
2023-08-31,5.563
2023-09-01,5.506
2023-09-05,5.526
2023-09-06,5.526
2023-09-07,5.506
2023-09-08,5.526
2023-09-11,5.526
2023-09-12,5.536
2023-09-13,5.526
2023-09-14,5.526
2023-09-15,5.536
2023-09-18,5.526
2023-09-19,5.516
2023-09-20,5.536
2023-09-21,5.546
2023-09-22,5.536
2023-09-25,5.556
2023-09-26,5.556
2023-09-27,5.556
2023-09-28,5.536
2023-09-29,5.526
2023-10-02,5.632
2023-10-03,5.632
2023-10-04,5.622
2023-10-05,5.622
2023-10-06,5.6419999999999995
2023-10-10,5.622
2023-10-11,5.622
2023-10-12,5.6419999999999995
2023-10-13,5.632
2023-10-16,5.622
2023-10-17,5.632
2023-10-18,5.622
2023-10-19,5.611999999999999
2023-10-20,5.592
2023-10-23,5.592
2023-10-24,5.592
2023-10-25,5.601999999999999
2023-10-26,5.601999999999999
2023-10-27,5.601999999999999
2023-10-30,5.611999999999999
2023-10-31,5.601999999999999
2023-11-01,5.546
2023-11-02,5.516
2023-11-03,5.506
2023-11-06,5.536
2023-11-07,5.526
2023-11-08,5.516
2023-11-09,5.516
2023-11-10,5.506
2023-11-13,5.526
2023-11-14,5.4959999999999996
2023-11-15,5.506
2023-11-16,5.486
2023-11-17,5.476
2023-11-20,5.516
2023-11-21,5.506
2023-11-22,5.516
2023-11-24,5.516
2023-11-27,5.466
2023-11-28,5.446
2023-11-29,5.426
2023-11-30,5.426
2023-12-01,5.378
2023-12-04,5.408
2023-12-05,5.398000000000001
2023-12-06,5.398000000000001
2023-12-07,5.388000000000001
2023-12-08,5.388000000000001
2023-12-11,5.418
2023-12-12,5.408
2023-12-13,5.388000000000001
2023-12-14,5.378
2023-12-15,5.388000000000001
2023-12-18,5.408
2023-12-19,5.378
2023-12-20,5.388000000000001
2023-12-21,5.368
2023-12-22,5.388000000000001
2023-12-26,5.398000000000001
2023-12-27,5.388000000000001
2023-12-28,5.398000000000001
2023-12-29,5.348000000000001
2024-01-02,5.435
2024-01-03,5.455
2024-01-04,5.455
2024-01-05,5.444999999999999
2024-01-08,5.465
2024-01-09,5.444999999999999
2024-01-10,5.435
2024-01-11,5.435
2024-01-12,5.425
2024-01-16,5.425
2024-01-17,5.444999999999999
2024-01-18,5.425
2024-01-19,5.425
2024-01-22,5.435
2024-01-23,5.425
2024-01-24,5.415
2024-01-25,5.415
2024-01-26,5.415
2024-01-29,5.395
2024-01-30,5.395
2024-01-31,5.395
2024-02-01,5.393
2024-02-02,5.403
2024-02-05,5.393
2024-02-06,5.413
2024-02-07,5.403
2024-02-08,5.413
2024-02-09,5.413
2024-02-12,5.403
2024-02-13,5.423
2024-02-14,5.403
2024-02-15,5.403
2024-02-16,5.413
2024-02-20,5.413
2024-02-21,5.413
2024-02-22,5.423
2024-02-23,5.433
2024-02-26,5.443
2024-02-27,5.423
2024-02-28,5.423
2024-02-29,5.423
2024-03-01,5.311
2024-03-04,5.371
2024-03-05,5.361
2024-03-06,5.361
2024-03-07,5.361
2024-03-08,5.351
2024-03-11,5.371
2024-03-12,5.371
2024-03-13,5.371
2024-03-14,5.371
2024-03-15,5.371
2024-03-18,5.371
2024-03-19,5.371
2024-03-20,5.361
2024-03-21,5.371
2024-03-22,5.351
2024-03-25,5.351
2024-03-26,5.351
2024-03-27,5.341
2024-03-28,5.351
2024-04-01,5.331
2024-04-02,5.311
2024-04-03,5.311
2024-04-04,5.301
2024-04-05,5.321
2024-04-08,5.321
2024-04-09,5.321
2024-04-10,5.341
2024-04-11,5.341
2024-04-12,5.341
2024-04-15,5.341
2024-04-16,5.341
2024-04-17,5.341
2024-04-18,5.351
2024-04-19,5.341
2024-04-22,5.311
2024-04-23,5.341
2024-04-24,5.351
2024-04-25,5.361
2024-04-26,5.351
2024-04-29,5.341
2024-04-30,5.351
2024-05-01,5.3309999999999995
2024-05-02,5.3309999999999995
2024-05-03,5.321
2024-05-06,5.321
2024-05-07,5.321
2024-05-08,5.321
2024-05-09,5.3309999999999995
2024-05-10,5.340999999999999
2024-05-13,5.321
2024-05-14,5.311
2024-05-15,5.321
2024-05-16,5.321
2024-05-17,5.3309999999999995
2024-05-20,5.321
2024-05-21,5.321
2024-05-22,5.321
2024-05-23,5.3309999999999995
2024-05-24,5.3309999999999995
2024-05-28,5.3309999999999995
2024-05-29,5.3309999999999995
2024-05-30,5.3309999999999995
2024-05-31,5.3309999999999995
2024-06-03,5.3709999999999996
2024-06-04,5.3709999999999996
2024-06-05,5.361
2024-06-06,5.361
2024-06-07,5.3709999999999996
2024-06-10,5.3709999999999996
2024-06-11,5.3709999999999996
2024-06-12,5.361
2024-06-13,5.361
2024-06-14,5.361
2024-06-17,5.3709999999999996
2024-06-18,5.351
2024-06-20,5.351
2024-06-21,5.341
2024-06-24,5.351
2024-06-25,5.341
2024-06-26,5.351
2024-06-27,5.341
2024-06-28,5.331
2024-07-01,5.303999999999999
2024-07-02,5.303999999999999
2024-07-03,5.303999999999999
2024-07-05,5.294
2024-07-08,5.294
2024-07-09,5.294
2024-07-10,5.294
2024-07-11,5.274
2024-07-12,5.263999999999999
2024-07-15,5.263999999999999
2024-07-16,5.263999999999999
2024-07-17,5.263999999999999
2024-07-18,5.263999999999999
2024-07-19,5.263999999999999
2024-07-22,5.263999999999999
2024-07-23,5.244
2024-07-24,5.234
2024-07-25,5.223999999999999
2024-07-26,5.2139999999999995
2024-07-29,5.244
2024-07-30,5.234
2024-07-31,5.244
2024-08-01,5.115
2024-08-02,5.035
2024-08-05,5.095
2024-08-06,5.085
2024-08-07,5.085
2024-08-08,5.085
2024-08-09,5.075
2024-08-12,5.075
2024-08-13,5.065
2024-08-14,5.065
2024-08-15,5.085
2024-08-16,5.075
2024-08-19,5.055
2024-08-20,5.035
2024-08-21,5.005
2024-08-22,5.025
2024-08-23,4.995
2024-08-26,4.985
2024-08-27,4.9750000000000005
