date,value
2024-05-15,38385.73046875
2024-05-16,38920.26171875
2024-05-17,38787.37890625
2024-05-20,39069.6796875
2024-05-21,38946.9296875
2024-05-22,38617.1015625
2024-05-23,39103.21875
2024-05-24,38646.109375
2024-05-27,38900.01953125
2024-05-28,38855.37109375
2024-05-29,38556.87109375
2024-05-30,38054.12890625
2024-05-31,38487.8984375
2024-06-03,38923.03125
2024-06-04,38837.4609375
2024-06-05,38490.171875
2024-06-06,38703.51171875
2024-06-07,38683.9296875
2024-06-10,39038.16015625
2024-06-11,39134.7890625
2024-06-12,38876.7109375
2024-06-13,38720.46875
2024-06-14,38814.55859375
2024-06-17,38102.44140625
2024-06-18,38482.109375
2024-06-19,38570.76171875
2024-06-20,38633.01953125
2024-06-21,38596.46875
2024-06-24,38804.6484375
2024-06-25,39173.1484375
2024-06-26,39667.0703125
2024-06-27,39341.5390625
2024-06-28,39583.078125
2024-07-01,39631.05859375
2024-07-02,40074.69140625
2024-07-03,40580.76171875
2024-07-04,40913.6484375
2024-07-05,40912.37109375
2024-07-08,40780.69921875
2024-07-09,41580.171875
2024-07-10,41831.98828125
2024-07-11,42224.01953125
2024-07-12,41190.6796875
2024-07-16,41275.078125
2024-07-17,41097.69140625
2024-07-18,40126.3515625
2024-07-19,40063.7890625
2024-07-22,39599.0
2024-07-23,39594.390625
2024-07-24,39154.8515625
2024-07-25,37869.51171875
2024-07-26,37667.41015625
2024-07-29,38468.62890625
2024-07-30,38525.94921875
2024-07-31,39101.8203125
2024-08-01,38126.328125
2024-08-02,35909.69921875
2024-08-05,31458.419921875
2024-08-06,34675.4609375
2024-08-07,35089.62109375
2024-08-08,34831.1484375
2024-08-09,35025.0
2024-08-13,36232.51171875
2024-08-14,36442.4296875
2024-08-15,36726.640625
2024-08-16,38062.671875
2024-08-19,37388.62109375
2024-08-20,38062.921875
2024-08-21,37951.80078125
2024-08-22,38211.01171875
2024-08-23,38364.26953125
2024-08-26,38110.21875
2024-08-27,38288.62109375
2024-08-28,38371.76171875
2024-08-29,38362.53125
2024-08-30,38647.75
2024-09-02,38700.87109375
2024-09-03,38686.30859375
2024-09-04,37047.609375
2024-09-05,36657.08984375
2024-09-06,36391.46875
2024-09-09,36215.75
2024-09-10,36159.16015625
2024-09-11,35619.76953125
2024-09-12,36833.26953125
2024-09-13,36581.76171875
2024-09-17,36203.21875
2024-09-18,36380.171875
2024-09-19,37155.328125
2024-09-20,37723.91015625
2024-09-24,37940.58984375
2024-09-25,37870.26171875
2024-09-26,38925.62890625
2024-09-27,39829.55859375
2024-09-30,37919.55078125
2024-10-01,38651.96875
2024-10-02,37808.76171875
2024-10-03,38552.05859375
2024-10-04,38635.62109375
2024-10-07,39332.73828125
2024-10-08,38937.5390625
2024-10-09,39277.9609375
2024-10-10,39380.890625
2024-10-11,39605.80078125
2024-10-15,39910.55078125
2024-10-16,39180.30078125
2024-10-17,38911.19140625
2024-10-18,38981.75
2024-10-21,38954.6015625
2024-10-22,38411.9609375
2024-10-23,38104.859375
2024-10-24,38143.2890625
2024-10-25,37913.921875
2024-10-28,38605.53125
2024-10-29,38903.6796875
2024-10-30,39277.390625
2024-10-31,39081.25
2024-11-01,38053.671875
2024-11-05,38474.8984375
2024-11-06,39480.671875
2024-11-07,39381.41015625
2024-11-08,39500.37109375
2024-11-11,39533.3203125
2024-11-12,39376.08984375
2024-11-13,38721.66015625
2024-11-14,38535.69921875
2024-11-15,38642.91015625
2024-11-18,38220.8515625
2024-11-19,38414.4296875
2024-11-20,38352.33984375
2024-11-21,38026.171875
2024-11-22,38283.8515625
2024-11-25,38780.140625
2024-11-26,38442.0
2024-11-27,38134.96875
2024-11-28,38349.05859375
2024-11-29,38208.03125
2024-12-02,38513.01953125
2024-12-03,39248.859375
2024-12-04,39276.390625
2024-12-05,39395.6015625
2024-12-06,39091.171875
2024-12-09,39160.5
2024-12-10,39367.578125
2024-12-11,39372.23046875
2024-12-12,39849.140625
2024-12-13,39470.44140625
2024-12-16,39457.48828125
2024-12-17,39364.6796875
2024-12-18,39081.7109375
2024-12-19,38813.578125
2024-12-20,38701.8984375
2024-12-23,39161.33984375
2024-12-24,39036.8515625
2024-12-25,39130.4296875
2024-12-26,39568.05859375
2024-12-27,40281.16015625
2024-12-30,39894.5390625
2025-01-06,39307.05078125
2025-01-07,40083.30078125
2025-01-08,39981.05859375
2025-01-09,39605.08984375
2025-01-10,39190.3984375
2025-01-14,38474.30078125
2025-01-15,38444.578125
2025-01-16,38572.6015625
2025-01-17,38451.4609375
2025-01-20,38902.5
2025-01-21,39027.98046875
2025-01-22,39646.25
2025-01-23,39958.87109375
2025-01-24,39931.98046875
2025-01-27,39565.80078125
2025-01-28,39016.87109375
2025-01-29,39414.78125
2025-01-30,39513.96875
2025-01-31,39572.48828125
2025-02-03,38520.08984375
2025-02-04,38798.37109375
2025-02-05,38831.48046875
2025-02-06,39066.53125
2025-02-07,38787.01953125
2025-02-10,38801.171875
2025-02-12,38963.69921875
2025-02-13,39461.46875
2025-02-14,39149.4296875
2025-02-17,39174.25
2025-02-18,39270.3984375
2025-02-19,39164.609375
2025-02-20,38678.0390625
2025-02-21,38776.94140625
2025-02-25,38237.7890625
2025-02-26,38142.37109375
2025-02-27,38256.171875
2025-02-28,37155.5
2025-03-03,37785.46875
2025-03-04,37331.1796875
2025-03-05,37418.23828125
2025-03-06,37704.9296875
2025-03-07,36887.171875
2025-03-10,37028.26953125
2025-03-11,36793.109375
2025-03-12,36819.08984375
2025-03-13,36790.03125
2025-03-14,37053.1015625
2025-03-17,37396.51953125
2025-03-18,37845.421875
2025-03-19,37751.87890625
2025-03-21,37677.05859375
2025-03-24,37608.48828125
2025-03-25,37780.5390625
2025-03-26,38027.2890625
2025-03-27,37799.96875
2025-03-28,37120.328125
2025-03-31,35617.55859375
2025-04-01,35624.48046875
2025-04-02,35725.87109375
2025-04-03,34735.9296875
2025-04-04,33780.578125
2025-04-07,31136.580078125
2025-04-08,33012.578125
2025-04-09,31714.029296875
