date,value
2023-05-18,2238.266
2023-05-19,2276.72
2023-05-22,2275.311
2023-05-23,2256.689
2023-05-24,2250.709
2023-05-25,2197.638
2023-05-26,2189.681
2023-05-30,2200.479
2023-05-31,2254.859
2023-06-01,2160.055
2023-06-02,2142.102
2023-06-05,2131.417
2023-06-06,2134.638
2023-06-07,2161.556
2023-06-08,2141.798
2023-06-09,2127.652
2023-06-12,2126.87
2023-06-13,2074.52
2023-06-14,2109.105
2023-06-15,1992.14
2023-06-16,2011.556
2023-06-20,1989.489
2023-06-21,2037.102
2023-06-22,1994.711
2023-06-23,1969.38
2023-06-26,1961.027
2023-06-27,1951.098
2023-06-28,1945.211
2023-06-29,1934.684
2023-06-30,2034.319
2023-07-03,1909.639
2023-07-05,1867.061
2023-07-06,1854.256
2023-07-07,1822.303
2023-07-10,1811.981
2023-07-11,1775.796
2023-07-12,1820.146
2023-07-13,1767.432
2023-07-14,1740.777
2023-07-17,1728.322
2023-07-18,1716.862
2023-07-19,1732.804
2023-07-20,1721.001
2023-07-21,1770.752
2023-07-24,1770.867
2023-07-25,1720.716
2023-07-26,1749.733
2023-07-27,1735.783
2023-07-28,1730.227
2023-07-31,1821.124
2023-08-01,1739.554
2023-08-02,1770.186
2023-08-03,1776.774
2023-08-04,1793.804
2023-08-07,1810.583
2023-08-08,1778.351
2023-08-09,1796.519
2023-08-10,1759.897
2023-08-11,1773.236
2023-08-14,1799.311
2023-08-15,1743.784
2023-08-16,1796.725
2023-08-17,1794.12
2023-08-18,1819.201
2023-08-21,1824.788
2023-08-22,1812.294
2023-08-23,1816.533
2023-08-24,1731.623
2023-08-25,1687.379
2023-08-28,1708.605
2023-08-29,1693.278
2023-08-30,1696.819
2023-08-31,1651.602
2023-09-01,1574.065
2023-09-05,1568.49
2023-09-06,1606.244
2023-09-07,1535.289
2023-09-08,1525.403
2023-09-11,1549.111
2023-09-12,1493.781
2023-09-13,1546.225
2023-09-14,1492.427
2023-09-15,1401.403
2023-09-18,1452.942
2023-09-19,1453.324
2023-09-20,1486.984
2023-09-21,1454.115
2023-09-22,1427.575
2023-09-25,1437.31
2023-09-26,1438.301
2023-09-27,1442.805
2023-09-28,1453.366
2023-09-29,1557.569
2023-10-02,1365.739
2023-10-03,1348.465
2023-10-04,1342.031
2023-10-05,1265.132
2023-10-06,1283.461
2023-10-10,1222.44
2023-10-11,1239.382
2023-10-12,1157.319
2023-10-13,1151.818
2023-10-16,1108.819
2023-10-17,1082.502
2023-10-18,1150.781
2023-10-19,1114.179
2023-10-20,1138.756
2023-10-23,1157.976
2023-10-24,1097.875
2023-10-25,1100.617
2023-10-26,1089.85
2023-10-27,1091.858
2023-10-30,1138.035
2023-10-31,1137.697
2023-11-01,1079.462
2023-11-02,1054.986
2023-11-03,1071.139
2023-11-06,1062.878
2023-11-07,1008.685
2023-11-08,1024.451
2023-11-09,993.314
2023-11-10,1032.72
2023-11-13,1020.272
2023-11-14,988.298
2023-11-15,944.241
2023-11-16,912.01
2023-11-17,935.803
2023-11-20,953.088
2023-11-21,931.155
2023-11-22,931.604
2023-11-24,865.907
2023-11-27,867.22
2023-11-28,873.344
2023-11-29,914.187
2023-11-30,887.822
2023-12-01,768.543
2023-12-04,815.847
2023-12-05,834.428
2023-12-06,846.498
2023-12-07,825.734
2023-12-08,821.408
2023-12-11,838.507
2023-12-12,837.803
2023-12-13,823.329
2023-12-14,769.346
2023-12-15,683.254
2023-12-18,724.704
2023-12-19,773.082
2023-12-20,779.143
2023-12-21,778.402
2023-12-22,772.258
2023-12-26,793.937
2023-12-27,818.869
2023-12-28,829.573
2023-12-29,1018.483
2024-01-02,704.864
2024-01-03,719.897
2024-01-04,664.899
2024-01-05,694.478
2024-01-08,691.485
2024-01-09,676.05
2024-01-10,679.961
2024-01-11,626.37
2024-01-12,603.116
2024-01-16,583.103
2024-01-17,590.191
2024-01-18,618.234
2024-01-19,625.182
2024-01-22,647.103
2024-01-23,621.195
2024-01-24,639.56
2024-01-25,557.687
2024-01-26,570.828
2024-01-29,581.41
2024-01-30,577.755
2024-01-31,615.379
