date,value
2001-02-08,1.95
2006-02-09,2.05
2007-02-08,2.46
2008-02-07,1.82
2009-02-12,2.02
2009-05-07,2.14
2009-08-13,2.54
2009-11-12,2.26
2010-02-11,2.36
2010-02-22,2.45
2010-05-13,2.6
2010-08-12,2.77
2010-11-10,2.31
2011-02-10,2.51
2011-02-17,2.54
2011-05-12,2.43
2011-08-11,2.08
2011-11-10,2.4
2012-02-09,2.47
2012-02-16,2.46
2012-05-10,2.73
2012-08-09,2.41
2012-11-08,2.77
2013-02-14,2.74
2013-02-21,2.47
2013-05-09,2.53
2013-08-08,2.11
2013-11-14,2.16
2014-02-13,2.27
2014-02-20,2.34
2014-05-08,2.09
2014-08-14,2.6
2014-11-13,2.29
2015-02-12,2.26
2015-02-19,2.43
2015-05-14,2.2
2015-08-13,2.26
2015-11-12,2.41
2016-02-11,2.09
2016-02-18,2.11
2016-05-12,2.19
2016-08-11,2.24
2016-11-10,2.11
2017-02-09,2.25
2017-02-16,2.25
2017-05-11,2.19
2017-08-10,2.32
2017-11-09,2.23
2018-02-08,2.26
2018-02-15,2.31
2018-05-10,2.38
2018-08-09,2.27
2018-11-07,2.06
2019-02-07,2.27
2019-02-21,2.46
2019-05-09,2.2
2019-08-08,2.24
2019-11-07,2.23
2020-02-13,2.43
2020-02-20,2.4
2020-05-13,2.3
2020-08-13,2.14
2020-11-12,2.29
2021-02-11,2.18
2021-02-18,2.31
2021-05-13,2.22
2021-08-12,2.21
2021-11-10,2.2
2022-02-10,2.3
2022-02-17,2.17
2022-05-12,2.38
2022-08-11,2.31
2022-11-10,2.42
2023-02-09,2.25
2023-02-16,2.38
2023-05-11,2.43
2023-08-10,2.42
2023-11-09,2.24
2024-02-08,2.4
2024-02-22,2.43
2024-05-09,2.41
2024-08-08,2.31
2024-11-06,2.64
2025-02-13,2.33
2025-02-20,2.48
2025-05-08,2.31
2025-08-07,2.27
2025-11-13,2.29
2026-02-12,2.66
2026-02-19,2.75
2026-05-13,2.3
2026-08-13,2.39
