date,value
2023-05-19,2.19
2023-05-22,2.18
2023-05-23,2.21
2023-05-24,2.14
2023-05-25,2.12
2023-05-26,2.13
2023-05-30,2.12
2023-05-31,2.07
2023-06-01,2.07
2023-06-02,2.13
2023-06-05,2.15
2023-06-06,2.14
2023-06-07,2.15
2023-06-08,2.14
2023-06-09,2.13
2023-06-12,2.09
2023-06-13,2.12
2023-06-14,2.15
2023-06-15,2.16
2023-06-16,2.17
2023-06-20,2.14
2023-06-21,2.15
2023-06-22,2.18
2023-06-23,2.16
2023-06-26,2.13
2023-06-27,2.12
2023-06-28,2.12
2023-06-29,2.15
2023-06-30,2.18
2023-07-03,2.21
2023-07-05,2.2
2023-07-06,2.22
2023-07-07,2.22
2023-07-10,2.19
2023-07-11,2.16
2023-07-12,2.18
2023-07-13,2.16
2023-07-14,2.15
2023-07-17,2.16
2023-07-18,2.13
2023-07-19,2.13
2023-07-20,2.21
2023-07-21,2.23
2023-07-24,2.28
2023-07-25,2.26
2023-07-26,2.24
2023-07-27,2.27
2023-07-28,2.28
2023-07-31,2.27
2023-08-01,2.26
2023-08-02,2.25
2023-08-03,2.24
2023-08-04,2.26
2023-08-07,2.29
2023-08-08,2.24
2023-08-09,2.23
2023-08-10,2.25
2023-08-11,2.3
2023-08-14,2.29
2023-08-15,2.24
2023-08-16,2.23
2023-08-17,2.24
2023-08-18,2.22
2023-08-21,2.25
2023-08-22,2.27
2023-08-23,2.26
2023-08-24,2.24
2023-08-25,2.25
2023-08-28,2.21
2023-08-29,2.18
2023-08-30,2.16
2023-08-31,2.15
2023-09-01,2.17
2023-09-05,2.21
2023-09-06,2.23
2023-09-07,2.24
2023-09-08,2.26
2023-09-11,2.26
2023-09-12,2.27
2023-09-13,2.28
2023-09-14,2.27
2023-09-15,2.27
2023-09-18,2.29
2023-09-19,2.3
2023-09-20,2.27
2023-09-21,2.29
2023-09-22,2.29
2023-09-25,2.25
2023-09-26,2.2
2023-09-27,2.23
2023-09-28,2.27
2023-09-29,2.22
2023-10-02,2.23
2023-10-03,2.21
2023-10-04,2.18
2023-10-05,2.14
2023-10-06,2.17
2023-10-10,2.18
2023-10-11,2.2
2023-10-12,2.23
2023-10-13,2.26
2023-10-16,2.3
2023-10-17,2.32
2023-10-18,2.35
2023-10-19,2.52
2023-10-20,2.47
2023-10-23,2.41
2023-10-24,2.38
2023-10-25,2.4
2023-10-26,2.37
2023-10-27,2.39
2023-10-30,2.4
2023-10-31,2.4
2023-11-01,2.36
2023-11-02,2.35
2023-11-03,2.32
2023-11-06,2.35
2023-11-07,2.32
2023-11-08,2.29
2023-11-09,2.3
2023-11-10,2.28
2023-11-13,2.29
2023-11-14,2.23
2023-11-15,2.24
2023-11-16,2.2
2023-11-17,2.23
2023-11-20,2.26
2023-11-21,2.19
2023-11-22,2.21
2023-11-24,2.21
2023-11-27,2.12
2023-11-28,2.15
2023-11-29,2.14
2023-11-30,2.15
2023-12-01,2.12
2023-12-04,2.13
2023-12-05,2.09
2023-12-06,2.05
2023-12-07,2.06
2023-12-08,2.11
2023-12-11,2.11
2023-12-12,2.08
2023-12-13,2.08
2023-12-14,2.18
2023-12-15,2.17
2023-12-18,2.18
2023-12-19,2.17
2023-12-20,2.16
2023-12-21,2.18
2023-12-22,2.16
2023-12-26,2.17
2023-12-27,2.12
2023-12-28,2.11
2023-12-29,2.12
2024-01-02,2.17
2024-01-03,2.17
2024-01-04,2.18
2024-01-05,2.19
2024-01-08,2.19
2024-01-09,2.17
2024-01-10,2.18
2024-01-11,2.18
2024-01-12,2.22
2024-01-16,2.24
2024-01-17,2.24
2024-01-18,2.28
2024-01-19,2.3
2024-01-22,2.27
2024-01-23,2.26
2024-01-24,2.23
2024-01-25,2.24
2024-01-26,2.26
2024-01-29,2.26
2024-01-30,2.25
2024-01-31,2.24
2024-02-01,2.17
2024-02-02,2.19
2024-02-05,2.26
2024-02-06,2.24
2024-02-07,2.26
2024-02-08,2.28
2024-02-09,2.28
2024-02-12,2.27
2024-02-13,2.33
2024-02-14,2.34
2024-02-15,2.35
2024-02-16,2.38
2024-02-20,2.37
2024-02-21,2.39
2024-02-22,2.37
2024-02-23,2.34
2024-02-26,2.36
2024-02-27,2.38
2024-02-28,2.38
2024-02-29,2.4
2024-03-01,2.4
2024-03-04,2.42
2024-03-05,2.39
2024-03-06,2.38
2024-03-07,2.34
2024-03-08,2.34
2024-03-11,2.32
2024-03-12,2.35
2024-03-13,2.37
2024-03-14,2.37
2024-03-15,2.39
2024-03-18,2.39
2024-03-19,2.38
2024-03-20,2.4
2024-03-21,2.43
2024-03-22,2.41
2024-03-25,2.41
2024-03-26,2.38
2024-03-27,2.37
2024-03-28,2.38
2024-04-01,2.41
2024-04-02,2.44
2024-04-03,2.43
2024-04-04,2.42
2024-04-05,2.45
2024-04-08,2.47
2024-04-09,2.44
2024-04-10,2.49
2024-04-11,2.48
2024-04-12,2.47
2024-04-15,2.52
2024-04-16,2.52
2024-04-17,2.47
2024-04-18,2.44
2024-04-19,2.44
2024-04-22,2.45
2024-04-23,2.44
2024-04-24,2.42
2024-04-25,2.43
2024-04-26,2.44
2024-04-29,2.43
2024-04-30,2.43
2024-05-01,2.39
2024-05-02,2.37
2024-05-03,2.35
2024-05-06,2.34
2024-05-07,2.32
2024-05-08,2.31
2024-05-09,2.34
2024-05-10,2.34
2024-05-13,2.33
2024-05-14,2.32
2024-05-15,2.29
2024-05-16,2.3
2024-05-17,2.32
2024-05-20,2.33
2024-05-21,2.33
2024-05-22,2.33
2024-05-23,2.31
2024-05-24,2.33
2024-05-28,2.33
2024-05-29,2.36
2024-05-30,2.35
2024-05-31,2.34
2024-06-03,2.31
2024-06-04,2.28
2024-06-05,2.27
2024-06-06,2.25
2024-06-07,2.28
2024-06-10,2.27
2024-06-11,2.25
2024-06-12,2.17
2024-06-13,2.14
2024-06-14,2.11
2024-06-17,2.16
2024-06-18,2.17
2024-06-20,2.21
2024-06-21,2.19
2024-06-24,2.18
2024-06-25,2.17
2024-06-26,2.2
2024-06-27,2.22
2024-06-28,2.24
2024-07-01,2.29
2024-07-02,2.26
2024-07-03,2.23
2024-07-05,2.22
2024-07-08,2.22
2024-07-09,2.21
2024-07-10,2.22
2024-07-11,2.18
2024-07-12,2.15
2024-07-15,2.2
2024-07-16,2.2
2024-07-17,2.19
2024-07-18,2.19
2024-07-19,2.18
2024-07-22,2.18
2024-07-23,2.17
2024-07-24,2.13
2024-07-25,2.13
2024-07-26,2.13
2024-07-29,2.13
2024-07-30,2.12
2024-07-31,2.13
2024-08-01,2.06
