date,value
2023-05-18,138.5
2023-05-19,137.67
2023-05-22,138.65
2023-05-23,138.74
2023-05-24,139.14
2023-05-25,139.81
2023-05-26,140.53
2023-05-30,139.83
2023-05-31,139.78
2023-06-01,138.74
2023-06-02,139.76
2023-06-05,139.64
2023-06-06,139.67
2023-06-07,139.98
2023-06-08,138.83
2023-06-09,139.35
2023-06-12,139.72
2023-06-13,140.0
2023-06-14,139.33
2023-06-15,140.49
2023-06-16,141.82
2023-06-20,141.46
2023-06-21,142.09
2023-06-22,142.89
2023-06-23,143.78
2023-06-26,143.55
2023-06-27,144.0
2023-06-28,144.23
2023-06-29,144.72
2023-06-30,144.47
2023-07-03,144.5
2023-07-05,144.56
2023-07-06,144.09
2023-07-07,142.21
2023-07-10,141.56
2023-07-11,140.51
2023-07-12,138.21
2023-07-13,138.14
2023-07-14,138.74
2023-07-17,138.92
2023-07-18,138.94
2023-07-19,139.76
2023-07-20,140.39
2023-07-21,141.75
2023-07-24,141.19
2023-07-25,140.91
2023-07-26,140.41
2023-07-27,141.03
2023-07-28,140.72
2023-07-31,142.18
2023-08-01,143.34
2023-08-02,143.21
2023-08-03,142.42
2023-08-04,141.79
2023-08-07,142.45
2023-08-08,143.17
2023-08-09,143.58
2023-08-10,144.4
2023-08-11,144.94
2023-08-14,145.3
2023-08-15,145.4
2023-08-16,145.81
2023-08-17,146.16
2023-08-18,145.15
2023-08-21,146.26
2023-08-22,145.79
2023-08-23,144.62
2023-08-24,145.75
2023-08-25,146.38
2023-08-28,146.4
2023-08-29,146.01
2023-08-30,145.94
2023-08-31,145.68
2023-09-01,146.2
2023-09-05,147.63
2023-09-06,147.65
2023-09-07,147.13
2023-09-08,147.7
2023-09-11,146.46
2023-09-12,147.12
2023-09-13,147.45
2023-09-14,147.17
2023-09-15,147.83
2023-09-18,147.63
2023-09-19,147.8
2023-09-20,147.74
2023-09-21,147.42
2023-09-22,148.24
2023-09-25,148.74
2023-09-26,148.9
2023-09-27,149.48
2023-09-28,149.18
2023-09-29,149.43
2023-10-02,149.8
2023-10-03,149.16
2023-10-04,148.83
2023-10-05,148.49
2023-10-06,149.08
2023-10-10,148.62
2023-10-11,149.17
2023-10-12,149.71
2023-10-13,149.62
2023-10-16,149.57
2023-10-17,149.71
2023-10-18,149.86
2023-10-19,149.92
2023-10-20,149.85
2023-10-23,149.78
2023-10-24,149.84
2023-10-25,149.94
2023-10-26,150.44
2023-10-27,149.6
2023-10-30,149.01
2023-10-31,151.46
2023-11-01,150.96
2023-11-02,150.48
2023-11-03,149.36
2023-11-06,149.77
2023-11-07,150.47
2023-11-08,150.77
2023-11-09,151.04
2023-11-13,151.56
2023-11-14,150.75
2023-11-15,151.07
2023-11-16,150.59
2023-11-17,149.82
2023-11-20,148.26
2023-11-21,147.88
2023-11-22,149.67
2023-11-24,149.57
2023-11-27,148.89
2023-11-28,147.41
2023-11-29,147.39
2023-11-30,147.87
2023-12-01,147.0
2023-12-04,147.15
2023-12-05,147.26
2023-12-06,147.16
2023-12-07,144.1
2023-12-08,144.88
2023-12-11,146.41
2023-12-12,145.45
2023-12-13,145.17
2023-12-14,141.53
2023-12-15,141.8
2023-12-18,143.04
2023-12-19,143.62
2023-12-20,143.77
2023-12-21,142.16
2023-12-22,142.6
2023-12-26,142.48
2023-12-27,142.05
2023-12-28,141.08
2023-12-29,140.92
2024-01-02,141.89
2024-01-03,143.55
2024-01-04,144.59
2024-01-05,144.52
2024-01-08,143.89
2024-01-09,144.35
2024-01-10,145.68
2024-01-11,146.03
2024-01-12,144.86
2024-01-16,147.01
2024-01-17,148.39
2024-01-18,148.15
2024-01-19,148.21
2024-01-22,147.95
2024-01-23,148.55
2024-01-24,147.31
2024-01-25,147.69
2024-01-26,147.94
2024-01-29,147.65
2024-01-30,147.71
2024-01-31,146.26
2024-02-01,146.18
2024-02-02,148.54
2024-02-05,148.79
2024-02-06,148.03
2024-02-07,148.04
2024-02-08,149.25
2024-02-09,149.38
2024-02-12,149.37
2024-02-13,150.72
2024-02-14,150.5
2024-02-15,150.19
2024-02-16,150.34
2024-02-20,149.87
2024-02-21,150.29
2024-02-22,150.62
2024-02-23,150.36
2024-02-26,150.79
2024-02-27,150.46
2024-02-28,150.68
2024-02-29,149.9
2024-03-01,150.2
2024-03-04,150.44
2024-03-05,150.14
2024-03-06,149.17
2024-03-07,148.08
2024-03-08,147.17
2024-03-11,146.86
2024-03-12,147.69
2024-03-13,147.73
2024-03-14,148.19
2024-03-15,149.14
2024-03-18,149.13
2024-03-19,150.73
2024-03-20,151.66
2024-03-21,151.59
2024-03-22,151.35
2024-03-25,151.42
2024-03-26,151.58
2024-03-27,151.35
2024-03-28,151.35
2024-03-29,151.22
2024-04-01,151.72
2024-04-02,151.55
2024-04-03,151.67
2024-04-04,151.66
2024-04-05,151.59
2024-04-08,151.78
2024-04-09,151.73
2024-04-10,152.9
2024-04-11,153.19
2024-04-12,153.12
2024-04-15,154.25
2024-04-16,154.57
2024-04-17,154.61
2024-04-18,154.61
2024-04-19,154.55
2024-04-22,154.77
2024-04-23,154.81
2024-04-24,155.11
2024-04-25,155.52
2024-04-26,157.62
2024-04-29,156.71
2024-04-30,157.54
2024-05-01,157.65
2024-05-02,153.77
2024-05-03,152.85
2024-05-06,153.85
2024-05-07,154.59
2024-05-08,155.42
2024-05-09,155.68
2024-05-10,155.85
2024-05-13,156.17
2024-05-14,156.5
2024-05-15,155.02
2024-05-16,155.25
2024-05-17,155.57
2024-05-20,156.09
2024-05-21,156.08
2024-05-22,156.49
2024-05-23,157.05
2024-05-24,156.9
2024-05-28,156.9
2024-05-29,157.62
2024-05-30,156.63
2024-05-31,157.19
2024-06-03,156.04
2024-06-04,154.87
2024-06-05,156.21
2024-06-06,155.98
2024-06-07,156.58
2024-06-10,156.93
2024-06-11,157.32
2024-06-12,155.88
2024-06-13,156.77
2024-06-14,157.28
2024-06-17,157.54600524902344
2024-06-18,157.6999969482422
2024-06-19,157.87100219726562
2024-06-20,157.95799255371094
2024-06-21,158.93099975585938
2024-06-24,159.86099243164062
2024-06-25,159.68600463867188
2024-06-26,159.68600463867188
2024-06-27,160.62100219726562
2024-06-28,160.68699645996094
2024-07-01,160.90699768066406
2024-07-02,161.51199340820312
2024-07-03,161.50399780273438
2024-07-04,161.62100219726562
2024-07-05,161.35800170898438
2024-07-08,160.63800048828125
2024-07-09,160.85699462890625
2024-07-10,161.33099365234375
2024-07-11,161.60699462890625
2024-07-12,158.2010040283203
